jockey,count,te_mean,win_rate
N.Furukawa,1,1.0,1.0
Y.Kawada,5,0.8,0.8
A.Lemaitre,2,0.5,0.5
A.Starke,2,0.5,0.5
R.Takasugi,2,0.5,0.5
M.Demuro,6,0.3333333333333333,0.3333333333333333
Y.Hishida,3,0.3333333333333333,0.3333333333333333
Y.Nagaoka,3,0.3333333333333333,0.3333333333333333
C.Lemaire,15,0.2666666666666666,0.26666666666666666
Y.Tannai,8,0.25,0.25
K.Ogino,4,0.25,0.25
R.King,4,0.25,0.25
S.Hamanaka,4,0.25,0.25
K.Tosaki,13,0.2307692307692307,0.23076923076923078
Y.Take,10,0.2,0.2
H.Kitamura,5,0.2,0.2
H.Yoshida,5,0.2,0.2
M.Matsuoka,5,0.2,0.2
C.Demuro,6,0.1666666666666666,0.16666666666666666
D.Sasaki,6,0.1666666666666666,0.16666666666666666
