jockey,n_races,n_wins,win_rate
C.Lemaire,15,4,0.267
T.Yokoyama,14,2,0.143
K.Tosaki,13,3,0.231
K.Sameshima,12,0,0.0
M.Iwata,11,0,0.0
A.Sugawara,11,0,0.0
K.Matsuyama,10,1,0.1
S.Ishibashi,9,1,0.111
R.Sakai,9,1,0.111
A.Nishimura,9,0,0.0
K.Taguchi,9,0,0.0
Y.Take,9,2,0.222
Y.Ishikawa,8,0,0.0
F.Matsuwaka,8,1,0.125
K.Yokoyama,8,0,0.0
A.Tsumura,8,1,0.125
Y.Tannai,8,2,0.25
H.Tanabe,8,1,0.125
S.Kobayashi,7,0,0.0
T.Kowata,7,0,0.0
H.Miyuki,7,1,0.143
T.Nagano,6,0,0.0
G.Maruyama,6,0,0.0
A.Tomita,6,0,0.0
M.Demuro,6,2,0.333
C.Demuro,6,1,0.167
K.Maruta,6,0,0.0
D.Sasaki,6,1,0.167
T.Ono,6,1,0.167
Y.Yoshida,6,0,0.0
Y.Hara,6,1,0.167
Y.Furukawa,6,0,0.0
S.Yoshimura,6,0,0.0
N.Fujita,5,0,0.0
M.Muto,5,0,0.0
M.Matsuoka,5,1,0.2
R.Wada,5,0,0.0
T.Tsunoda,5,0,0.0
Y.Kawada,5,4,0.8
T.Danno,5,1,0.2
M.Nagashima,5,0,0.0
M.Sugihara,5,0,0.0
H.Yoshida,5,1,0.2
K.Miura,5,0,0.0
A.Saito,5,0,0.0
H.Kitamura,5,1,0.2
M.Okabe,4,0,0.0
R.King,4,1,0.25
S.Hamanaka,4,1,0.25
K.Fujioka,4,0,0.0
B.Murzabayev,4,0,0.0
K.Ogino,4,1,0.25
T.Marquand,4,0,0.0
Y.Fujioka,4,0,0.0
T.O'shea,4,0,0.0
Y.Kitamura,4,0,0.0
Y.Hishida,3,1,0.333
R.Kobayashi,3,0,0.0
Y.Iwata,3,0,0.0
H.Oehara,3,0,0.0
J.Iwabe,3,0,0.0
H.Mayuzumi,3,0,0.0
R.Yokoyama,3,0,0.0
R.Sugahara,3,0,0.0
R.Piechulek,3,0,0.0
Y.Nagaoka,3,1,0.333
K.Nishizuka,3,0,0.0
K.Nagahama,3,0,0.0
M.Kobayashi,3,0,0.0
Y.Nonaka,3,0,0.0
K.Kikuzawa,3,0,0.0
M.Sakai,3,0,0.0
K.Kawamata,2,0,0.0
H.Uchida,2,0,0.0
Y.Tsunoda,2,0,0.0
A.Starke,2,1,0.5
T.Ishida,2,0,0.0
H.Kameda,2,0,0.0
M.Michel,2,0,0.0
D.Shibata,2,0,0.0
T.Watanabe,2,0,0.0
R.Moore,2,0,0.0
K.Kato,2,0,0.0
Y.Shibata,2,0,0.0
S.Akiyama,2,0,0.0
J.Moreira,2,0,0.0
R.Takasugi,2,1,0.5
N.Yokoyama,2,0,0.0
J.Shimada,2,0,0.0
Y.Suzuki,1,0,0.0
H.Kowata,1,0,0.0
W.Buick,1,0,0.0
T.Yoshimura,1,0,0.0
Y.Mizuguchi,1,0,0.0
I.Kowata,1,0,0.0
H.Matoba,1,0,0.0
R.Kozaki,1,0,0.0
K.Teetan,1,0,0.0
K.Kokubun,1,0,0.0
M.Katsuura,1,0,0.0
K.Ikezoe,1,0,0.0
N.Furukawa,1,1,1.0
N.Kawaharada,1,0,0.0
R.Kingscote,1,0,0.0
R.Oikawa,1,0,0.0
H.Matsumoto,1,0,0.0
S.Imamura,1,0,0.0
K.Tanaka,1,0,0.0
T.Fujikake,1,0,0.0
T.Hashiki,1,0,0.0
T.Hattori,1,0,0.0
T.Mori,1,0,0.0
T.Nishimura,1,0,0.0
A.Lemaitre,1,1,1.0
